ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001,ssxtg_2ce003
10.2972968753300,43.8738229323702,30.3237642646709,54.9588896113388,44.5552918369806,3495.00257272385,0.0103881297149058,103.981068753772,44.4301258333840,29.8326604184174,6.22310752364720,224.856625031487,489.347391851128,3480.01273537811,2024-07-09 09:07:36.260674
10.3000494961637,43.8741135336355,30.3237307269316,54.9642313592185,44.5496165165100,3495.00223434961,0.0103888278621698,103.981940075591,44.4303911647655,29.8326173636968,6.22309962817298,224.259010241843,489.351049926550,3480.01240700557,2024-07-09 09:07:36.977726
10.3064386610218,43.8746480299820,30.3236832237824,54.9559335511972,44.5419719424185,3495.00081232875,0.0103892999387798,103.982964640505,44.4309232487758,29.8325563806822,6.22288856949264,223.905578508448,489.351365161255,3480.01104280417,2024-07-09 09:07:37.693065
10.3120261425419,43.8755626270666,30.3236469244767,54.9524675954267,44.5364361625394,3494.99659908061,0.0103855392193141,103.979558920304,44.4316433963604,29.8325097774941,6.22288569695688,223.525795167026,489.356641159260,3480.00695235051,2024-07-09 09:07:38.409248
10.3172241637487,43.8767880646673,30.3236134283857,54.9503424675974,44.5315854817424,3494.99135931985,0.0103724914604039,103.980416050596,44.4325612455360,29.8324667726708,6.22306066599380,222.723632189458,489.365002021036,3480.00184803838,2024-07-09 09:07:39.124670
10.3266612439587,43.8790026532962,30.3235631816761,54.9470030850389,44.5247667802215,3494.98366048203,0.0103388411892617,103.982264164809,44.4343122541445,29.8324022646912,6.22325078855609,222.411420934840,489.370949116848,3479.99434881490,2024-07-09 09:07:39.843892
10.3347468771292,43.8807576636641,30.3235296867613,54.9443226464556,44.5205406998134,3494.97812083671,0.0103086656651554,103.977212169544,44.4357656909762,29.8323592636388,6.22323473966326,222.012295576103,489.374628916550,3479.98896218507,2024-07-09 09:07:40.562016
10.3486492322867,43.8839371967107,30.3234822574341,54.9354987587029,44.5150126405148,3494.96752655305,0.0102582891159735,103.976720618296,44.4383968241393,29.8322983707584,6.22321183301334,220.828380552980,489.391247958624,3479.97866413325,2024-07-09 09:07:41.289394
10.3613835320796,43.8870281970029,30.3234460043170,54.9269529972324,44.5111529622092,3494.95720682847,0.0102130999292365,103.986456383104,44.4409562832440,29.8322518247712,6.22318985124206,220.191055031433,489.409033030221,3479.96862513796,2024-07-09 09:07:42.003426
10.3753534213745,43.8904363312859,30.3234125527370,54.9225672213747,44.5078803359050,3494.94601689661,0.0101652093262025,103.977892107008,44.4438092055223,29.8322088741680,6.22323850139698,219.834487564342,489.426240617322,3479.95773490210,2024-07-09 09:07:42.719482
10.4016341698111,43.8966290636898,30.3233623950681,54.9109192645205,44.5035174342129,3494.92624217656,0.0100830160290741,103.982781307402,44.4490876237938,29.8321444709695,6.22345300472112,218.991364206676,489.452257259206,3479.93849304335,2024-07-09 09:07:43.438478
10.4235720005229,43.9016632362582,30.3233289781680,54.8959246043569,44.5009798175648,3494.91013364786,0.0100238802470290,103.977079218567,44.4534238162672,29.8321015597480,6.22338419609630,218.353014724699,489.461026612660,3479.92281689960,2024-07-09 09:07:44.156148
10.4493737360837,43.9077523044549,30.3232955915383,54.8819039708913,44.4987529561446,3494.88977743095,0.00996589695606492,103.985573537326,44.4586527963176,29.8320586820039,6.22307997526766,218.364698068324,489.462428487837,3479.90301413892,2024-07-09 09:07:44.871875
10.4955629081671,43.9190460598347,30.3232455574384,54.8554941187840,44.4960222448253,3494.85254579711,0.00988958285275782,103.982025141944,44.4683740793262,29.8319944166774,6.22303372235180,217.027166260758,489.478696043737,3479.86676668498,2024-07-09 09:07:45.586713
10.5312137124738,43.9284459460150,30.3232122536097,54.8374551907972,44.4946250856012,3494.82004763389,0.00984786293301595,103.985406466462,44.4764360521214,29.8319516301505,6.22330263163421,216.419087449272,489.492661222283,3479.83552267885,2024-07-09 09:07:46.304726
10.5855643118220,43.9444236207680,30.3231651361673,54.8057858521909,44.4932506640470,3494.76480949626,0.00980073072087324,103.984218469525,44.4902090114750,29.8318910851005,6.22364994709489,215.455856893750,489.501313924433,3479.78218673380,2024-07-09 09:07:47.018517
10.6268998458409,43.9592881740201,30.3231291556215,54.7811769039272,44.4927034705819,3494.71488757162,0.00977490846088311,103.986346725977,44.5029146135921,29.8318448411538,6.22380022191068,214.486358282940,489.507060675497,3479.73378590500,2024-07-09 09:07:47.735302
10.6645304020258,43.9743947640898,30.3230959327518,54.7595635233659,44.4926012057007,3494.66896522957,0.00975545502205834,103.977465372377,44.5160640847707,29.8318021429420,6.22390254939789,214.118441723658,489.517361094104,3479.68919939923,2024-07-09 09:07:48.451553
10.7189509975030,43.9990865032976,30.3230460752084,54.7283765199182,44.4931935493918,3494.60087779447,0.00973139117635592,103.989340081169,44.5381520676520,29.8317380671452,6.22408663282931,213.620651678225,489.538713424592,3479.62309651115,2024-07-09 09:07:49.169728
10.7594072676735,44.0160903259651,30.3230128125987,54.7065527447365,44.4940737343666,3494.55831507807,0.00971700368254222,103.981967252127,44.5541610113938,29.8316953222288,6.22426671651102,213.021835000695,489.554150484146,3479.58054853888,2024-07-09 09:07:49.883449
10.8263698359576,44.0409799367464,30.3229656661247,54.6690681297355,44.4959800570780,3494.49915839934,0.00969779969950227,103.989360666946,44.5787118769799,29.8316347348570,6.22438399650790,211.720275503556,489.570655294342,3479.52275601925,2024-07-09 09:07:50.601940
10.8800616714893,44.0623595998420,30.3229296980341,54.6373041761083,44.4979763006652,3494.44266664878,0.00968371973654686,103.988634238020,44.5996885443341,29.8315884946861,6.22425343551184,211.068248900701,489.578380359280,3479.46766929868,2024-07-09 09:07:51.317305
10.9290400052559,44.0838028781424,30.3228965331951,54.6079407098684,44.5002455999598,3494.38514212808,0.00967057617792246,103.978006733880,44.6207096269421,29.8315458516055,6.22430741468512,210.282983065008,489.595008048764,3479.41150457654,2024-07-09 09:07:52.038607
11.0026997771345,44.1182008034094,30.3228467807498,54.5687707287218,44.5044234287620,3494.29733911498,0.00965201222114181,103.992799019879,44.6550294902573,29.8314818809358,6.22472489802961,209.434250354206,489.637035284434,3479.32569510679,2024-07-09 09:07:52.754640
11.0527588278898,44.1420813651721,30.3228135849092,54.5384753238906,44.5077323913233,3494.24043933101,0.00963959266117609,103.988561585302,44.6794839093391,29.8314392028836,6.22475528705555,208.756608510237,489.670458256562,3479.27007271149,2024-07-09 09:07:53.470861
11.1032908826321,44.1670193816655,30.3227804000074,54.5095301362085,44.5114589712495,3494.18104453193,0.00962706296846865,103.977306131176,44.7053498897963,29.8313965359409,6.22472451595693,208.134384695263,489.721365398159,3479.21202682202,2024-07-09 09:07:54.189266
11.1794403831000,44.2060074264384,30.3227306136288,54.4694814165602,44.5178380509104,3494.09127371022,0.00960961151199911,103.996467484189,44.7465527834067,29.8313325266247,6.22516155006197,206.893892316155,489.846945960329,3479.12421325393,2024-07-09 09:07:54.902695
11.2306215606984,44.2328402269913,30.3226974170904,54.4464844143113,44.5226108631903,3494.03131654172,0.00959757445117858,103.991173738517,44.7755127420688,29.8312898481878,6.22569106176608,205.933144631861,489.940828980172,3479.06552454955,2024-07-09 09:07:55.618451
11.3084516982380,44.2740145191224,30.3226475870045,54.4105747862879,44.5305438431953,3493.94288743336,0.00957930318600007,103.979345349036,44.8209704991410,29.8312257937841,6.22635551894846,205.224574606846,490.062031061710,3478.97892953297,2024-07-09 09:07:56.341121
11.3609914618950,44.3023397258261,30.3226143769442,54.3839429211012,44.5363476582547,3493.88147741704,0.00956801718854344,103.987913205775,44.8527403300605,29.8311831035187,6.22666337384259,204.404302922423,490.126167329244,3478.91879449354,2024-07-09 09:07:57.055426
11.4142088732555,44.3312409528913,30.3225811622373,54.3583278603798,44.5425581912843,3493.81980710824,0.00955627002418272,103.986190999379,44.8856116943755,29.8311404108565,6.22694894838666,203.602697313691,490.175724314761,3478.85835389960,2024-07-09 09:07:57.770816
11.4955612698274,44.3754706699829,30.3225313185624,54.3165981010369,44.5526407835262,3493.72699074326,0.00953784495822089,103.981565581207,44.9368296002279,29.8310763532264,6.22750640771529,201.628878132030,490.219565888850,3478.76736635340,2024-07-09 09:07:58.498315
11.5508261618431,44.4054395679523,30.3224980739539,54.2917753524835,44.5598588633648,3493.66548543274,0.00952542350475352,103.986086380455,44.9721623438837,29.8310336353475,6.22792596802478,200.689135606884,490.226535744229,3478.70704291077,2024-07-09 09:07:59.212709
11.6306152611598,44.4488821087739,30.3224509810601,54.2478604605610,44.5707596854429,3493.57590812203,0.00950595950647685,103.981431781089,45.0240179468193,29.8309731290935,6.22852486414997,199.562560017977,490.209417337710,3478.61916971615,2024-07-09 09:07:59.926555
11.6934115985258,44.4827084121198,30.3224149598591,54.2207222345091,44.5796376824169,3493.50649156511,0.00948907324468189,103.982801440375,45.0649507568160,29.8309268557404,6.22903805535836,198.927679367262,490.183731645183,3478.55104375844,2024-07-09 09:08:00.649574
11.7537559673265,44.5141948103928,30.3223816919989,54.1869101230977,44.5882464766657,3493.44311610080,0.00947159944849002,103.987235965725,45.1036533334595,29.8308841273858,6.22937022896001,198.129664021961,490.148568628211,3478.48882700089,2024-07-09 09:08:01.369095
