ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001
10.2335253298712,43.7721616491021,30.2539565044864,44.3293382759153,3495.75098502566,0.489981125795848,103.984069400264,44.3245839134317,29.7435530181139,6.22536457802867,224.706574576245,489.050286696024,3480.75210907395,2024-07-08 16:09:59.118625
10.2334924494574,43.7719645188895,30.2539256369966,44.3230308563566,3495.75151719219,0.490218420943521,103.977678543393,44.3243763439181,29.7435137801414,6.22524222504038,224.411939676913,489.046171624043,3480.75263288228,2024-07-08 16:09:59.840919
10.2334751835459,43.7717127446933,30.2538819119189,44.3144271522837,3495.75200903083,0.490055418870801,103.983213046913,44.3240972073229,29.7434581976686,6.22504313767637,224.005424350048,489.041627324175,3480.75312327070,2024-07-08 16:10:00.561614
10.2333241011088,43.7715664245685,30.2538484803342,44.3081139573958,3495.75210987819,0.489809896566806,103.982991939902,44.3239013899710,29.7434156995776,6.22492731846652,223.740296150765,489.039606761678,3480.75322602879,2024-07-08 16:10:01.281235
10.2331976409327,43.7714121855934,30.2538176180690,44.3024951335600,3495.75252257106,0.489571471081722,103.977637884892,44.3237151962817,29.7433764683601,6.22483222651229,223.443756240974,489.037608013471,3480.75363254606,2024-07-08 16:10:01.999784
10.2329739255099,43.7711888749156,30.2537713272845,44.2944491302985,3495.75307669948,0.489379812557298,103.982879312544,44.3234385365661,29.7433176248569,6.22475780660920,222.874303079686,489.035400367902,3480.75418279499,2024-07-08 16:10:02.728025
10.2328503399204,43.7710108423805,30.2537404668855,44.2893478999025,3495.75366544733,0.489485456105208,103.982159013928,44.3232462128234,29.7432783963235,6.22472985107343,222.495146858400,489.033952838018,3480.75476290639,2024-07-08 16:10:03.446712
10.2328026877175,43.7707715107196,30.2536967522489,44.2824862719896,3495.75428158150,0.489218471238243,103.979836060797,44.3229797608300,29.7432228276814,6.22461101481693,222.014292638008,489.029439173024,3480.75537305276,2024-07-08 16:10:04.164606
10.2326894538572,43.7705849602017,30.2536633253381,44.2775331704448,3495.75479425502,0.488942494121197,103.981657715401,44.3227754639430,29.7431803365578,6.22449337919150,221.623858714275,489.026018080602,3480.75587724291,2024-07-08 16:10:04.887706
10.2326272524091,43.7704087279928,30.2536324699138,44.2731906707713,3495.75530667890,0.488831997888956,103.979353840701,44.3225859712728,29.7431411144869,6.22435182078366,221.255272889441,489.023571324327,3480.75638235587,2024-07-08 16:10:05.615378
10.2324979606159,43.7701737034433,30.2535861916345,44.2671053262604,3495.75582100387,0.488831069427706,103.981375609568,44.3223150444495,29.7430822872715,6.22410104338534,220.627914032024,489.020307515719,3480.75689173905,2024-07-08 16:10:06.332737
10.2323781415814,43.7700201474533,30.2535553406915,44.2633272733769,3495.75618675109,0.488583075020147,103.980460280780,44.3221371304363,29.7430430708712,6.22378632261046,220.438904082606,489.016970556493,3480.75725315658,2024-07-08 16:10:07.062513
10.2322089310564,43.7697904893041,30.2535116359799,44.2583801708716,3495.75679578339,0.488391447788718,103.980898123833,44.3218815642490,29.7429875156834,6.22343686886565,219.829575957265,489.017592690904,3480.75785567489,2024-07-08 16:10:07.779627
10.2319869290782,43.7695851867928,30.2534782153298,44.2549125905078,3495.75744883176,0.488376482987272,103.980525262967,44.3216704445452,29.7429450333570,6.22332649663649,219.369885116200,489.024806698097,3480.75849821399,2024-07-08 16:10:08.501790
10.2318926495545,43.7694020806517,30.2534473685421,44.2519637011880,3495.75793382485,0.488129871014589,103.975934339436,44.3214817819447,29.7429058225340,6.22292299230483,218.973530188003,489.026660522980,3480.75897514072,2024-07-08 16:10:09.216011
10.2317102079945,43.7691298260862,30.2534036690530,44.2482131671617,3495.75875840508,0.488000599018120,103.980670936149,44.3212092905043,29.7428502746297,6.21995483895006,217.859815250566,488.956286916066,3480.75978511523,2024-07-08 16:10:09.935147
10.2311717619726,43.7688956460627,30.2533728216142,44.2458833592141,3495.75957603183,0.487911847793701,103.976658630234,44.3209990108978,29.7428110638596,6.21860084323716,217.815390653231,488.944480115928,3480.76058811882,2024-07-08 16:10:10.648048
10.2303555396414,43.7684104201080,30.2533316866136,44.2432025278757,3495.76167002587,0.487538008763246,103.981014582781,44.3206422460921,29.7427587777388,6.21905869000235,217.143638808616,489.087623958514,3480.76263625864,2024-07-08 16:10:11.360003
10.2302493710359,43.7679237726027,30.2532956975210,44.2412651163242,3495.76334538518,0.487602939706083,103.975977066779,44.3202933662985,29.7427130321666,6.21990815409353,216.756622177234,489.182730344559,3480.76427896522,2024-07-08 16:10:12.081349
10.2307838912912,43.7674766233080,30.2532545781211,44.2395372823738,3495.76406371643,0.487267205886784,103.980547943226,44.3199259057349,29.7426607642095,6.22020703382416,215.750354832248,489.250795431637,3480.76499180753,2024-07-08 16:10:12.808226
10.2312859004839,43.7673138236996,30.2532186114836,44.2384564279158,3495.76323444470,0.487257739767891,103.979268028139,44.3196943021777,29.7426150445243,6.21999522970903,214.667733614628,489.312441406771,3480.76419056405,2024-07-08 16:10:13.527703
10.2315211106922,43.7673140156274,30.2531877871407,44.2378560827398,3495.76214484602,0.487054761638071,103.980608912764,44.3195584561499,29.7425758613896,6.21981747016042,214.034588611336,489.370039101247,3480.76312781034,2024-07-08 16:10:14.251103
10.2316583807297,43.7673473561908,30.2531466837925,44.2375357520529,3495.76125493873,0.486899831820517,103.980182580608,44.3193992499519,29.7425236130475,6.21977830977288,213.323464712916,489.438915648598,3480.76226233983,2024-07-08 16:10:14.965367
10.2317692770111,43.7674065491991,30.2531107187502,44.2377213995946,3495.76075004416,0.486706372356519,103.979526255559,44.3192878566008,29.7424778964899,6.22001347863904,212.650995007213,489.486499955562,3480.76177357446,2024-07-08 16:10:15.679591
10.2317479624317,43.7674343059098,30.2530696108058,44.2384628803000,3495.76082110329,0.486570034366872,103.981691561527,44.3191646772513,29.7424256437757,6.22043063728261,212.352994987289,489.522463020154,3480.76185372547,2024-07-08 16:10:16.394254
10.2313678319596,43.7674463094967,30.2530336430016,44.2395622182436,3495.76105825819,0.486602700448313,103.984006868019,44.3190566774210,29.7423799247462,6.22074154992257,211.674506557530,489.533647190228,3480.76209243869,2024-07-08 16:10:17.118954
10.2308304941882,43.7673444821335,30.2530028083389,44.2408326211944,3495.76206746881,0.487038656490947,103.993318115853,44.3189244735781,29.7423407316135,6.22094069501632,211.017676781391,489.528739012089,3480.76308239935,2024-07-08 16:10:17.841745
10.2299236797517,43.7670543047429,30.2529616935738,44.2430051793251,3495.76401963045,0.487922204334652,104.008346560425,44.3186865276755,29.7422884723023,6.22115038892739,210.170357458540,489.506721903759,3480.76499610716,2024-07-08 16:10:18.559451
10.2289962965581,43.7665726505283,30.2529257122875,44.2453653432912,3495.76674863122,0.488718346441362,104.018513048402,44.3183790835095,29.7422427393418,6.22123921325244,209.037636533371,489.476415095469,3480.76766571784,2024-07-08 16:10:19.274398
10.2280119729360,43.7658508282213,30.2528845940657,44.2485607465659,3495.76995396927,0.489510043249427,104.027752169925,44.3179396025656,29.7421904771238,6.22142558759491,208.122560313312,489.439981764164,3480.77080183551,2024-07-08 16:10:19.995799
10.2273485072959,43.7650784855873,30.2528486168986,44.2517674563960,3495.77284763996,0.490096609663426,104.011075883216,44.3174751154691,29.7421447497011,6.22169106401368,207.809855754417,489.411188175009,3480.77363250882,2024-07-08 16:10:20.710507
10.2282950910616,43.7644737896458,30.2528177884735,44.2547995557687,3495.77424946759,0.490560941814571,104.012138507290,44.3170811070667,29.7421055652749,6.22192802864907,207.078563051637,489.388201002176,3480.77501184951,2024-07-08 16:10:21.426483
10.2306580778574,43.7642927229970,30.2527767223040,44.2592283389048,3495.77158976002,0.491103136017139,104.024953528835,44.3167960044509,29.7420533624233,6.22218126406997,206.217670759726,489.361921729273,3480.77243070413,2024-07-08 16:10:22.158547
10.2321106172299,43.7646933125991,30.2527408072244,44.2634314383575,3495.76703568057,0.491505850334679,104.009617206282,44.3167893527551,29.7420077056596,6.22234399173181,204.964762662937,489.345214875897,3480.76798291572,2024-07-08 16:10:22.877921
10.2328729542569,43.7654445066600,30.2526997560678,44.2684747384920,3495.76234616520,0.491946072978706,104.006148873621,44.3169461579152,29.7419555214163,6.22246354270375,204.054375889551,489.332831311724,3480.76339004060,2024-07-08 16:10:23.598039
10.2332276513731,43.7661005937856,30.2526638221800,44.2730249980663,3495.75996265171,0.492281758445138,104.016284124121,44.3171193191864,29.7419098448233,6.22253219209339,203.455697825447,489.326818075622,3480.76106902767,2024-07-08 16:10:24.320766
10.2335490778606,43.7666325006575,30.2526330163121,44.2770393796970,3495.75874253561,0.492521973508910,104.022371649653,44.3172829039632,29.7418706874490,6.22259772994282,202.906688326026,489.324713623683,3480.75988705371,2024-07-08 16:10:25.039798
10.2340719038553,43.7673584133286,30.2525919428999,44.2825764391266,3495.75738253180,0.492763841240220,104.022927742968,44.3175457321809,29.7418184787153,6.22277783356760,201.769334687727,489.326510389415,3480.75857246096,2024-07-08 16:10:25.762872
10.2345509708007,43.7679835413614,30.2525560022291,44.2876062291138,3495.75646408898,0.492912118150261,104.024260197821,44.3178054396180,29.7417727945062,6.22292592111993,200.750095618244,489.327826076538,3480.75768912598,2024-07-08 16:10:26.480048
10.2350319265654,43.7687210049899,30.2525149308436,44.2935728537209,3495.75537318982,0.493029169263441,104.015054905202,44.3181460853028,29.7417205881709,6.22304515274691,200.157661300260,489.328037597296,3480.75663301397,2024-07-08 16:10:27.200638
10.2353757911100,43.7693399612751,30.2524789938871,44.2989905556626,3495.75463516543,0.493120058277644,104.013888447978,44.3184669914148,29.7416749083451,6.22310695313176,199.087487093493,489.328532129180,3480.75591561077,2024-07-08 16:10:27.917071
10.2356240981828,43.7698596969336,30.2524481910010,44.3037729003098,3495.75403723816,0.493181723721395,104.017069936285,44.3187583478698,29.7416357546949,6.22314164296540,198.362024506784,489.328907699817,3480.75533450607,2024-07-08 16:10:28.645150
10.2359654027736,43.7705819364319,30.2524019883120,44.3111712506933,3495.75338364991,0.493233505835341,104.019971252086,44.3192036045086,29.7415770264538,6.22328239344363,197.351161492730,489.332010680158,3480.75469251410,2024-07-08 16:10:29.391747
10.2361253474716,43.7709864019318,30.2523737526838,44.3158339822464,3495.75309506584,0.493240088424508,104.019327002980,44.3194766846239,29.7415411365805,6.22339033683092,196.917024412500,489.333621720873,3480.75440908892,2024-07-08 16:10:30.121195
10.2364579518129,43.7715473545977,30.2523326865823,44.3227877839240,3495.75259337016,0.493219174796198,104.018779600243,44.3198808716242,29.7414889379172,6.22348018249088,195.759309524463,489.333512593812,3480.75391063866,2024-07-08 16:10:30.848381
10.2367397714836,43.7720313505164,30.2522967562992,44.3290358935477,3495.75197064387,0.493175804260306,104.018985198580,44.3202473488388,29.7414432674479,6.22355176157821,194.833387708303,489.333667880541,3480.75329443943,2024-07-08 16:10:31.569545
10.2370606894227,43.7725471766016,30.2522556934896,44.3363484767265,3495.75140903926,0.493103084838279,104.018615373406,44.3206706320219,29.7413910738355,6.22368008259650,194.356365635503,489.335915261096,3480.75273269308,2024-07-08 16:10:32.294730
10.2373319865793,43.7730014642584,30.2522197668654,44.3428961553355,3495.75072771138,0.493023107771857,104.017815545608,44.3210503151173,29.7413454088055,6.22378113345655,194.062151973538,489.336888285612,3480.75205399685,2024-07-08 16:10:33.052466
10.2375468155932,43.7733894692526,30.2521889739611,44.3486112946032,3495.75005886915,0.492944837173649,104.017088119716,44.3213830850813,29.7413062692671,6.22381972132237,193.161219720371,489.336163939173,3480.75139041871,2024-07-08 16:10:33.775763
10.2378292268581,43.7739395678676,30.2521427847608,44.3573465851766,3495.74927146334,0.492814907603088,104.015987498120,44.3218778439209,29.7412475611759,6.22383655293974,192.599479048239,489.336051640432,3480.75060294952,2024-07-08 16:10:34.499516
10.2379854023428,43.7742880013275,30.2521119927655,44.3632756751272,3495.74880393570,0.492720639443237,104.015150731656,44.3222095222809,29.7412084239592,6.22386576374067,192.121200134354,489.337122334648,3480.75013415457,2024-07-08 16:10:35.222174
10.2381246679505,43.7747225627497,30.2520709367539,44.3713026319456,3495.74829320620,0.492586766429259,104.013881840902,44.3226458196414,29.7411562417885,6.22400276127574,191.830931005782,489.340623821018,3480.74962117561,2024-07-08 16:10:35.952676
